
16 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
    0       1n   1   0   1  0.00000e+00    0.000000      8.07100
    1       1H   1   1   0  7.08591e-01    0.708591      7.28900
    2      4He   4   2   2  6.90017e-02    0.276007      2.42500
    3      12C  12   6   6  2.53424e-04    0.003041      0.00000
    4      13C  13   6   7  2.81800e-06    0.000037      3.12500
    5      13N  13   7   6  0.00000e+00    0.000000      5.34600
    6      14N  14   7   7  7.88598e-05    0.001104      2.86300
    7      15N  15   7   8  2.91684e-07    0.000004      0.10100
    8      15O  15   8   7  0.00000e+00    0.000000      2.85500
    9      16O  16   8   8  6.01610e-04    0.009626     -4.73700
   10      17O  17   8   9  2.91684e-07    0.000005     -0.80900
   11      18O  18   8  10  1.20984e-06    0.000022     -0.78200
   12     17Fl  17   9   8  0.00000e+00    0.000000      1.95200
   13     18Fl  18   9   9  0.00000e+00    0.000000      0.87300
   14     19Fl  19   9  10  0.00000e+00    0.000000     -1.48700
   15     20Ne  20  10  10  7.81832e-05    0.001564     -7.04200

SUMMARY: 134 REACTIONS

0 n-->p+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.7823 prefac=1.0000 RGsymb:a<->b
1 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
2 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
3 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
4 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
5 n+c12-->c13 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.9464 prefac=1.0000 RGsymb:a+b<->c
6 c13-->n+c12 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.9464 prefac=1.0000 RGsymb:a+b<->c
7 p+c12-->n13 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.9440 prefac=1.0000 RGsymb:a+b<->c
8 p+c12-->n13 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.9440 prefac=1.0000 RGsymb:a+b<->c
9 n13-->p+c12 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.9440 prefac=1.0000 RGsymb:a+b<->c
10 n13-->p+c12 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.9440 prefac=1.0000 RGsymb:a+b<->c
11 he4+c12-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.1620 prefac=1.0000 RGsymb:a+b<->c
12 he4+c12-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.1620 prefac=1.0000 RGsymb:a+b<->c
13 o16-->he4+c12 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.1620 prefac=1.0000 RGsymb:a+b<->c
14 o16-->he4+c12 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.1620 prefac=1.0000 RGsymb:a+b<->c
15 he4+c12-->n+o15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-8.5020 prefac=1.0000 RGsymb:a+b<->c+d
16 n+o15-->he4+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=8.5020 prefac=1.0000 RGsymb:a+b<->c+d
17 he4+c12-->p+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.9660 prefac=1.0000 RGsymb:a+b<->c+d
18 he4+c12-->p+n15 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.9660 prefac=1.0000 RGsymb:a+b<->c+d
19 p+n15-->he4+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.9660 prefac=1.0000 RGsymb:a+b<->c+d
20 p+n15-->he4+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.9660 prefac=1.0000 RGsymb:a+b<->c+d
21 c12+c12-->he4+ne20 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.6210 prefac=0.5000 RGsymb:a+b<->c+d
22 he4+ne20-->c12+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.6210 prefac=1.0000 RGsymb:a+b<->c+d
23 p+c13-->n14 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.5510 prefac=1.0000 RGsymb:a+b<->c
24 p+c13-->n14 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.5510 prefac=1.0000 RGsymb:a+b<->c
25 n14-->p+c13 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.5510 prefac=1.0000 RGsymb:a+b<->c
26 n14-->p+c13 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.5510 prefac=1.0000 RGsymb:a+b<->c
27 p+c13-->n+n13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.0030 prefac=1.0000 RGsymb:a+b<->c+d
28 n+n13-->p+c13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.0030 prefac=1.0000 RGsymb:a+b<->c+d
29 he4+c13-->n+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.2160 prefac=1.0000 RGsymb:a+b<->c+d
30 he4+c13-->n+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.2160 prefac=1.0000 RGsymb:a+b<->c+d
31 he4+c13-->n+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.2160 prefac=1.0000 RGsymb:a+b<->c+d
32 n+o16-->he4+c13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.2160 prefac=1.0000 RGsymb:a+b<->c+d
33 n+o16-->he4+c13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.2160 prefac=1.0000 RGsymb:a+b<->c+d
34 n+o16-->he4+c13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.2160 prefac=1.0000 RGsymb:a+b<->c+d
35 n13-->c13+e++nu reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=2.2210 prefac=1.0000 RGsymb:a<->b
36 n+n13-->n14 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.5544 prefac=1.0000 RGsymb:a+b<->c
37 n+n13-->n14 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.5544 prefac=1.0000 RGsymb:a+b<->c
38 n14-->n+n13 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.5544 prefac=1.0000 RGsymb:a+b<->c
39 n14-->n+n13 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.5544 prefac=1.0000 RGsymb:a+b<->c
40 he4+n13-->p+o16 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.2180 prefac=1.0000 RGsymb:a+b<->c+d
41 p+o16-->he4+n13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-5.2180 prefac=1.0000 RGsymb:a+b<->c+d
42 n+n14-->n15 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=10.8324 prefac=1.0000 RGsymb:a+b<->c
43 n15-->n+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-10.8324 prefac=1.0000 RGsymb:a+b<->c
44 p+n14-->o15 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
45 p+n14-->o15 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2970 prefac=1.0000 RGsymb:a+b<->c
46 o15-->p+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
47 o15-->p+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2970 prefac=1.0000 RGsymb:a+b<->c
48 he4+n14-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4150 prefac=1.0000 RGsymb:a+b<->c
49 he4+n14-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4150 prefac=1.0000 RGsymb:a+b<->c
50 he4+n14-->f18 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4150 prefac=1.0000 RGsymb:a+b<->c
51 f18-->he4+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4150 prefac=1.0000 RGsymb:a+b<->c
52 f18-->he4+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4150 prefac=1.0000 RGsymb:a+b<->c
53 f18-->he4+n14 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4150 prefac=1.0000 RGsymb:a+b<->c
54 he4+n14-->n+f17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.7355 prefac=1.0000 RGsymb:a+b<->c+d
55 he4+n14-->n+f17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.7350 prefac=1.0000 RGsymb:a+b<->c+d
56 n+f17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.7355 prefac=1.0000 RGsymb:a+b<->c+d
57 n+f17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.7350 prefac=1.0000 RGsymb:a+b<->c+d
58 he4+n14-->p+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1910 prefac=1.0000 RGsymb:a+b<->c+d
59 he4+n14-->p+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1910 prefac=1.0000 RGsymb:a+b<->c+d
60 he4+n14-->p+o17 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1910 prefac=1.0000 RGsymb:a+b<->c+d
61 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
62 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
63 p+o17-->he4+n14 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1910 prefac=1.0000 RGsymb:a+b<->c+d
64 p+n15-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.1280 prefac=1.0000 RGsymb:a+b<->c
65 p+n15-->o16 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=12.1280 prefac=1.0000 RGsymb:a+b<->c
66 o16-->p+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.1280 prefac=1.0000 RGsymb:a+b<->c
67 o16-->p+n15 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-12.1280 prefac=1.0000 RGsymb:a+b<->c
68 he4+n15-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.0140 prefac=1.0000 RGsymb:a+b<->c
69 he4+n15-->f19 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.0140 prefac=1.0000 RGsymb:a+b<->c
