# All quantities actual values (not log10) 
#
# time(s)    dt(s)      dE(erg)  E(erg/g/s)    T(K)    rho(g/cm^3) 2/Rmax(s)
1.0654e+07 9.6668e+05 7.6415e+02 8.1416e+09 2.0000e+07 2.0000e+01 1.8697e+02
1.1350e+07 1.1350e+06 7.6413e+02 8.6737e+09 2.0000e+07 2.0000e+01 1.8697e+02
1.2092e+07 1.2092e+06 7.6412e+02 9.2407e+09 2.0000e+07 2.0000e+01 1.8697e+02
1.2882e+07 1.2882e+06 7.6411e+02 9.8446e+09 2.0000e+07 2.0000e+01 1.8697e+02
1.3725e+07 1.3725e+06 7.6410e+02 1.0488e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.4622e+07 1.4622e+06 7.6408e+02 1.1174e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.5578e+07 1.5578e+06 7.6407e+02 1.1904e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.6596e+07 1.6596e+06 7.6405e+02 1.2682e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.7681e+07 1.7681e+06 7.6404e+02 1.3511e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.8836e+07 1.8836e+06 7.6402e+02 1.4394e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.0068e+07 2.0068e+06 7.6400e+02 1.5335e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.1380e+07 2.1380e+06 7.6398e+02 1.6337e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.2777e+07 2.2777e+06 7.6396e+02 1.7404e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.4266e+07 2.4266e+06 7.6394e+02 1.8542e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.5852e+07 2.5852e+06 7.6392e+02 1.9754e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.7542e+07 2.7542e+06 7.6389e+02 2.1045e+10 2.0000e+07 2.0000e+01 1.8697e+02
2.9343e+07 2.9343e+06 7.6386e+02 2.2420e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.1261e+07 3.1261e+06 7.6383e+02 2.3885e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.3304e+07 3.3304e+06 7.6380e+02 2.5446e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.5481e+07 3.5481e+06 7.6377e+02 2.7109e+10 2.0000e+07 2.0000e+01 1.8697e+02
3.7801e+07 3.7801e+06 7.6373e+02 2.8880e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.0272e+07 4.0272e+06 7.6369e+02 3.0767e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.2904e+07 4.2904e+06 7.6366e+02 3.2777e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.5709e+07 4.5709e+06 7.6361e+02 3.4919e+10 2.0000e+07 2.0000e+01 1.8697e+02
4.8697e+07 4.8697e+06 7.6357e+02 3.7200e+10 2.0000e+07 2.0000e+01 1.8697e+02
5.1880e+07 5.1880e+06 7.6352e+02 3.9631e+10 2.0000e+07 2.0000e+01 1.8697e+02
5.5271e+07 5.5271e+06 7.6347e+02 4.2220e+10 2.0000e+07 2.0000e+01 1.8697e+02
5.8884e+07 5.8884e+06 7.6341e+02 4.4978e+10 2.0000e+07 2.0000e+01 1.8697e+02
6.2734e+07 6.2734e+06 7.6336e+02 4.7917e+10 2.0000e+07 2.0000e+01 1.8697e+02
6.6834e+07 6.6834e+06 7.6329e+02 5.1047e+10 2.0000e+07 2.0000e+01 1.8697e+02
7.1203e+07 7.1203e+06 7.6323e+02 5.4381e+10 2.0000e+07 2.0000e+01 1.8697e+02
7.5858e+07 7.5858e+06 7.6315e+02 5.7933e+10 2.0000e+07 2.0000e+01 1.8697e+02
8.0816e+07 8.0816e+06 7.6308e+02 6.1717e+10 2.0000e+07 2.0000e+01 1.8697e+02
8.6099e+07 8.6099e+06 7.6300e+02 6.5748e+10 2.0000e+07 2.0000e+01 1.8697e+02
9.1728e+07 9.1728e+06 7.6292e+02 7.0042e+10 2.0000e+07 2.0000e+01 1.8697e+02
9.7724e+07 9.7724e+06 7.6282e+02 7.4616e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.0411e+08 1.0411e+07 7.6273e+02 7.9488e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.1092e+08 1.1092e+07 7.6263e+02 8.4678e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.1817e+08 1.1817e+07 7.6252e+02 9.0207e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.2589e+08 1.2589e+07 7.6240e+02 9.6096e+10 2.0000e+07 2.0000e+01 1.8697e+02
1.3412e+08 1.3412e+07 7.6228e+02 1.0237e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.4289e+08 1.4289e+07 7.6214e+02 1.0905e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.5223e+08 1.5223e+07 7.6201e+02 1.1617e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.6218e+08 1.6218e+07 7.6185e+02 1.2375e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.7278e+08 1.7278e+07 7.6170e+02 1.3183e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.8408e+08 1.8408e+07 7.6153e+02 1.4043e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.9611e+08 1.9611e+07 7.6135e+02 1.4959e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.0893e+08 2.0893e+07 7.6116e+02 1.5935e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.2259e+08 2.2259e+07 7.6095e+02 1.6974e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.3714e+08 2.3714e+07 7.6074e+02 1.8081e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.5264e+08 2.5264e+07 7.6051e+02 1.9260e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.6915e+08 2.6915e+07 7.6026e+02 2.0515e+11 2.0000e+07 2.0000e+01 1.8697e+02
2.8675e+08 2.8675e+07 7.6000e+02 2.1852e+11 2.0000e+07 2.0000e+01 1.8697e+02
3.0549e+08 3.0549e+07 7.5972e+02 2.3276e+11 2.0000e+07 2.0000e+01 1.8697e+02
3.2546e+08 3.2546e+07 7.5943e+02 2.4793e+11 2.0000e+07 2.0000e+01 1.8697e+02
3.4674e+08 3.4674e+07 7.5912e+02 2.6408e+11 2.0000e+07 2.0000e+01 1.8697e+02
3.6940e+08 3.6940e+07 7.5879e+02 2.8128e+11 2.0000e+07 2.0000e+01 1.8697e+02
3.9355e+08 3.9355e+07 7.5843e+02 2.9959e+11 2.0000e+07 2.0000e+01 1.8697e+02
4.1928e+08 4.1928e+07 7.5806e+02 3.1909e+11 2.0000e+07 2.0000e+01 1.8697e+02
4.4668e+08 4.4668e+07 7.5766e+02 3.3986e+11 2.0000e+07 2.0000e+01 1.8697e+02
4.7588e+08 4.7588e+07 7.5724e+02 3.6197e+11 2.0000e+07 2.0000e+01 1.8697e+02
5.0699e+08 5.0699e+07 7.5679e+02 3.8551e+11 2.0000e+07 2.0000e+01 1.8697e+02
5.4013e+08 5.4013e+07 7.5632e+02 4.1058e+11 2.0000e+07 2.0000e+01 1.8697e+02
5.7544e+08 5.7544e+07 7.5581e+02 4.3726e+11 2.0000e+07 2.0000e+01 1.8697e+02
6.1306e+08 6.1306e+07 7.5527e+02 4.6567e+11 2.0000e+07 2.0000e+01 1.8697e+02
6.5313e+08 6.5313e+07 7.5470e+02 4.9592e+11 2.0000e+07 2.0000e+01 1.8697e+02
6.9582e+08 6.9582e+07 7.5410e+02 5.2812e+11 2.0000e+07 2.0000e+01 1.8697e+02
7.4131e+08 7.4131e+07 7.5346e+02 5.6239e+11 2.0000e+07 2.0000e+01 1.8697e+02
7.8977e+08 7.8977e+07 7.5279e+02 5.9887e+11 2.0000e+07 2.0000e+01 1.8697e+02
8.4140e+08 8.4140e+07 7.5207e+02 6.3769e+11 2.0000e+07 2.0000e+01 1.8697e+02
8.9640e+08 8.9640e+07 7.5131e+02 6.7902e+11 2.0000e+07 2.0000e+01 1.8697e+02
9.5499e+08 9.5499e+07 7.5051e+02 7.2299e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.0174e+09 1.0174e+08 7.4966e+02 7.6979e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.0839e+09 1.0839e+08 7.4876e+02 8.1959e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.1548e+09 1.1548e+08 7.4781e+02 8.7258e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.2303e+09 1.2303e+08 7.4681e+02 9.2895e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.3107e+09 1.3107e+08 7.4576e+02 9.8892e+11 2.0000e+07 2.0000e+01 1.8697e+02
1.3964e+09 1.3964e+08 7.4464e+02 1.0527e+12 2.0000e+07 2.0000e+01 1.8697e+02
1.4876e+09 1.4876e+08 7.4346e+02 1.1206e+12 2.0000e+07 2.0000e+01 1.8697e+02
